"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"70","2026-08-13T07:39:35.4765630Z","rollback_begin","csv_restore","数据/precision-paths.csv","7c923b632e4a4f23fbf613ea8b024e2270eb15bca5338517f9963cad2a375e21","reverse_index=7"
"71","2026-08-13T07:39:35.4996948Z","rollback_complete","csv_restore","数据/precision-paths.csv","477cc547e061fd7fd2d418c38ee4c74eb56c17ec70df956666040fde04292431","restored_premerge_backup"
"72","2026-08-13T07:39:35.5052847Z","rollback_begin","csv_restore","数据/memory-levels.csv","eb56148f19ec2ade6df304774e56bc7cf4780ab22f0a14613c76a3bf5fd3d2c5","reverse_index=6"
"73","2026-08-13T07:39:35.5346709Z","rollback_complete","csv_restore","数据/memory-levels.csv","e1e6f95da738de7ae3c673ebd66707e2ddf13c411afd72c6383fd375697398fa","restored_premerge_backup"
"74","2026-08-13T07:39:35.5384299Z","rollback_begin","csv_restore","数据/links.csv","4062ede242ad52eaa70a2ad4e5470a487cca8bc20ab8417668fc6872636762dd","reverse_index=5"
"75","2026-08-13T07:39:35.5543617Z","rollback_complete","csv_restore","数据/links.csv","71dc144abeae14c1607c75ef060f0305aa910e05823159ce4dca1b5105e9b51e","restored_premerge_backup"
"76","2026-08-13T07:39:35.5632972Z","rollback_begin","csv_restore","数据/field-requirements.csv","029c3f9ea2a84c8c9f4946f19971c2fa7997c36ac2243d825ccefe51def7e99f","reverse_index=4"
"77","2026-08-13T07:39:35.5927284Z","rollback_complete","csv_restore","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","restored_premerge_backup"
"78","2026-08-13T07:39:35.5972235Z","rollback_begin","csv_restore","数据/facts.csv","ef06b282153529e90c440156958479d3e69d80ef964721d690ce63752888be78","reverse_index=3"
"79","2026-08-13T07:39:35.6241872Z","rollback_complete","csv_restore","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","restored_premerge_backup"
"80","2026-08-13T07:39:35.6283725Z","rollback_begin","csv_restore","数据/condition-sets.csv","93e4524025b8e2192c0e46d5cd56d46d0333996b09a26bda945d2a9f4b9b8054","reverse_index=2"
"81","2026-08-13T07:39:35.6543896Z","rollback_complete","csv_restore","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","restored_premerge_backup"
"82","2026-08-13T07:39:35.6579283Z","rollback_begin","csv_restore","数据/components.csv","bdacd9a4db0abca65dc177743e4932db626c0e4e95563487245d4c969ed98c1b","reverse_index=1"
"83","2026-08-13T07:39:35.6905353Z","rollback_complete","csv_restore","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","restored_premerge_backup"
"84","2026-08-13T07:39:35.6947208Z","rollback_begin","csv_restore","数据/card-completeness.csv","ec30a8003e6359a9884154a2f1e9ef96f78d36b6a3fa9a62fb9ec670f5d299d2","reverse_index=0"
"85","2026-08-13T07:39:35.7256715Z","rollback_complete","csv_restore","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","restored_premerge_backup"
"86","2026-08-13T07:39:35.8554591Z","rollback_complete","transaction","","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","all_registered_changes_reversed"
